team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,date,hour,category,total attempts team1,total attempts team2,conceded team1,conceded team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,attempts outside the penalty area  team1,attempts outside the penalty area  team2,left channel team1,left channel team2,left inside channel team1,left inside channel team2,central channel team1,central channel team2,right inside channel team1,right inside channel team2,right channel team1,right channel team2,total offers to receive team1,total offers to receive team2,inbehind offers to receive team1,inbehind offers to receive team2,inbetween offers to receive team1,inbetween offers to receive team2,infront offers to receive team1,infront offers to receive team2,receptions between midfield and defensive lines team1,receptions between midfield and defensive lines team2,attempted line breaks team1,attempted line breaks team2,completed line breaksteam1,completed line breaks team2,attempted defensive line breaks team1,attempted defensive line breaks team2,completed defensive line breaksteam1,completed defensive line breaks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,passes team1,passes team2,passes completed team1,passes completed team2,crosses team1,crosses team2,crosses completed team1,crosses completed team2,switches of play completed team1,switches of play completed team2,corners team1,corners team2,free kicks team1,free kicks team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,own goals team1,own goals team2,forced turnovers team1,forced turnovers team2,defensive pressures applied team1,defensive pressures applied team2,Date,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,Man of the Match,1st Goal,Round,PSO,Goals in PSO,Own goals,Own goal Time
QATAR,ECUADOR,42%,50%,8%,0.0,2.0,20 NOV 2022,17 : 00,Group A,5.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,15.0,8.0,0.0,7.0,3.0,6.0,1.0,4.0,9.0,6.0,520.0,532.0,116.0,127.0,235.0,187.0,169.0,218.0,5.0,8.0,136.0,155.0,86.0,99.0,9.0,13.0,4.0,7.0,4.0,2.0,0.0,0.0,15.0,15.0,3.0,4.0,450.0,480.0,381.0,409.0,9.0,14.0,4.0,4.0,9.0,9.0,1.0,3.0,19.0,17.0,0.0,1.0,6.0,5.0,0.0,0.0,52.0,72.0,256.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,IRAN,72%,19%,9%,6.0,2.0,21 NOV 2022,14 : 00,Group B,13.0,8.0,2.0,6.0,6.0,2.0,0.0,0.0,6.0,1.0,7.0,3.0,3.0,4.0,10.0,6.0,3.0,2.0,11.0,3.0,5.0,0.0,2.0,3.0,3.0,1.0,11.0,0.0,1061.0,212.0,207.0,53.0,386.0,86.0,468.0,73.0,16.0,4.0,238.0,101.0,178.0,45.0,25.0,7.0,16.0,4.0,0.0,2.0,0.0,0.0,9.0,14.0,2.0,2.0,809.0,224.0,730.0,154.0,23.0,8.0,7.0,1.0,12.0,3.0,8.0,0.0,16.0,10.0,0.0,1.0,8.0,13.0,0.0,0.0,63.0,72.0,139.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,
SENEGAL,NETHERLANDS,44%,45%,11%,0.0,2.0,21 NOV 2022,17 : 00,Group A,14.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,8.0,5.0,7.0,5.0,7.0,4.0,12.0,11.0,4.0,2.0,2.0,2.0,4.0,7.0,13.0,20.0,502.0,506.0,123.0,117.0,230.0,191.0,149.0,198.0,15.0,14.0,151.0,162.0,89.0,96.0,22.0,22.0,15.0,10.0,2.0,1.0,0.0,0.0,13.0,13.0,2.0,1.0,383.0,438.0,313.0,374.0,19.0,25.0,7.0,8.0,9.0,6.0,6.0,7.0,14.0,14.0,0.0,0.0,9.0,15.0,0.0,0.0,63.0,73.0,263.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,WALES,51%,39%,10%,1.0,1.0,21 NOV 2022,20 : 00,Group B,6.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,4.0,5.0,2.0,2.0,14.0,7.0,5.0,2.0,4.0,5.0,4.0,2.0,11.0,7.0,725.0,436.0,149.0,100.0,336.0,172.0,240.0,164.0,12.0,9.0,199.0,174.0,146.0,103.0,23.0,17.0,15.0,8.0,4.0,2.0,0.0,0.0,15.0,10.0,1.0,1.0,569.0,409.0,509.0,321.0,31.0,15.0,4.0,6.0,5.0,8.0,5.0,3.0,11.0,15.0,0.0,1.0,7.0,7.0,0.0,0.0,81.0,72.0,242.0,292.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,SAUDI ARABIA,64%,24%,12%,1.0,2.0,22 NOV 2022,11 : 00,Group C,14.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,2.0,5.0,0.0,10.0,3.0,4.0,0.0,12.0,3.0,4.0,2.0,5.0,3.0,8.0,3.0,18.0,8.0,650.0,268.0,157.0,69.0,177.0,131.0,316.0,68.0,26.0,9.0,191.0,137.0,127.0,68.0,39.0,15.0,25.0,7.0,0.0,6.0,0.0,0.0,7.0,21.0,10.0,1.0,610.0,267.0,529.0,190.0,29.0,9.0,12.0,2.0,5.0,7.0,9.0,2.0,22.0,16.0,1.0,0.0,4.0,14.0,0.0,0.0,65.0,80.0,163.0,361.0,,,,,,,,,,,,,,,,,,,,,,,,,
DENMARK,TUNISIA,55%,33%,12%,0.0,0.0,22 NOV 2022,14 : 00,Group D,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,7.0,7.0,6.0,4.0,5.0,17.0,9.0,4.0,2.0,7.0,2.0,6.0,3.0,18.0,6.0,681.0,477.0,152.0,89.0,276.0,204.0,253.0,184.0,14.0,7.0,190.0,174.0,136.0,85.0,21.0,17.0,12.0,6.0,2.0,1.0,0.0,0.0,9.0,10.0,1.0,1.0,594.0,387.0,523.0,302.0,27.0,13.0,10.0,3.0,11.0,1.0,11.0,9.0,11.0,10.0,0.0,0.0,11.0,11.0,0.0,0.0,76.0,73.0,226.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,
MEXICO,POLAND,54%,31%,15%,0.0,0.0,22 NOV 2022,17 : 00,Group C,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,4.0,10.0,7.0,3.0,1.0,20.0,8.0,6.0,6.0,1.0,6.0,3.0,4.0,27.0,13.0,547.0,296.0,128.0,72.0,202.0,101.0,217.0,123.0,20.0,3.0,170.0,150.0,117.0,82.0,32.0,12.0,19.0,2.0,2.0,1.0,0.0,0.0,14.0,16.0,3.0,0.0,485.0,322.0,422.0,241.0,33.0,10.0,8.0,2.0,9.0,1.0,6.0,5.0,16.0,16.0,0.0,0.0,8.0,15.0,0.0,0.0,61.0,70.0,193.0,290.0,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,AUSTRALIA,56%,35%,9%,4.0,1.0,22 NOV 2022,20 : 00,Group D,22.0,4.0,1.0,4.0,4.0,1.0,0.0,0.0,4.0,1.0,7.0,1.0,9.0,3.0,18.0,2.0,4.0,2.0,30.0,11.0,6.0,2.0,3.0,5.0,8.0,1.0,19.0,9.0,691.0,521.0,150.0,95.0,182.0,208.0,359.0,218.0,26.0,7.0,173.0,133.0,135.0,84.0,32.0,15.0,27.0,7.0,0.0,3.0,0.0,0.0,5.0,11.0,0.0,0.0,734.0,466.0,672.0,399.0,34.0,9.0,17.0,2.0,6.0,5.0,8.0,1.0,11.0,5.0,0.0,0.0,4.0,22.0,0.0,0.0,64.0,56.0,250.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,
MOROCCO,CROATIA,32%,57%,12%,0.0,0.0,23 NOV 2022,11 : 00,Group F,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,4.0,5.0,2.0,8.0,12.0,1.0,3.0,6.0,6.0,0.0,5.0,11.0,7.0,498.0,626.0,106.0,99.0,193.0,197.0,199.0,330.0,4.0,9.0,142.0,169.0,81.0,116.0,10.0,18.0,4.0,9.0,1.0,0.0,0.0,0.0,17.0,11.0,0.0,1.0,360.0,667.0,290.0,592.0,10.0,19.0,1.0,4.0,6.0,7.0,0.0,5.0,12.0,17.0,0.0,0.0,7.0,8.0,0.0,0.0,87.0,58.0,391.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,JAPAN,65%,22%,13%,1.0,2.0,23 NOV 2022,14 : 00,Group E,25.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,3.0,11.0,6.0,15.0,10.0,10.0,0.0,24.0,5.0,9.0,0.0,14.0,3.0,5.0,3.0,21.0,11.0,865.0,346.0,199.0,102.0,366.0,146.0,300.0,98.0,19.0,10.0,241.0,113.0,185.0,70.0,23.0,17.0,20.0,11.0,0.0,0.0,0.0,0.0,6.0,14.0,4.0,4.0,820.0,261.0,743.0,207.0,28.0,16.0,9.0,3.0,4.0,2.0,6.0,6.0,17.0,10.0,1.0,0.0,12.0,26.0,0.0,0.0,55.0,87.0,164.0,487.0,,,,,,,,,,,,,,,,,,,,,,,,,
SPAIN,COSTA RICA,74%,17%,9%,7.0,0.0,23 NOV 2022,17 : 00,Group E,17.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,8.0,0.0,12.0,0.0,5.0,0.0,30.0,5.0,4.0,0.0,8.0,1.0,6.0,0.0,12.0,1.0,1085.0,250.0,180.0,52.0,418.0,104.0,487.0,94.0,23.0,1.0,276.0,119.0,233.0,58.0,34.0,11.0,22.0,1.0,0.0,2.0,0.0,0.0,8.0,12.0,3.0,7.0,1061.0,231.0,1003.0,170.0,17.0,5.0,2.0,0.0,8.0,1.0,5.0,0.0,18.0,11.0,1.0,0.0,0.0,17.0,0.0,0.0,46.0,76.0,185.0,585.0,,,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,CANADA,46%,43%,11%,1.0,0.0,23 NOV 2022,20 : 00,Group F,9.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,12.0,6.0,16.0,3.0,5.0,6.0,17.0,3.0,6.0,5.0,8.0,2.0,5.0,6.0,20.0,618.0,582.0,115.0,140.0,268.0,279.0,235.0,163.0,8.0,15.0,175.0,176.0,118.0,123.0,13.0,23.0,6.0,13.0,3.0,2.0,0.0,0.0,11.0,14.0,0.0,1.0,512.0,448.0,439.0,382.0,8.0,19.0,5.0,6.0,4.0,6.0,4.0,4.0,15.0,10.0,0.0,0.0,21.0,9.0,0.0,0.0,74.0,47.0,284.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,CAMEROON,43%,46%,11%,1.0,0.0,24 NOV 2022,11 : 00,Group G,8.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,2.0,6.0,6.0,2.0,1.0,19.0,9.0,2.0,12.0,11.0,3.0,6.0,5.0,16.0,18.0,609.0,561.0,153.0,109.0,256.0,248.0,200.0,204.0,13.0,5.0,178.0,182.0,123.0,103.0,21.0,16.0,13.0,4.0,2.0,1.0,0.0,0.0,12.0,10.0,2.0,2.0,497.0,500.0,437.0,424.0,28.0,20.0,6.0,4.0,4.0,8.0,11.0,5.0,11.0,14.0,0.0,0.0,7.0,8.0,0.0,0.0,64.0,79.0,313.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,
URUGUAY,KOREA REPUBLIC,49%,38%,13%,0.0,0.0,24 NOV 2022,14 : 00,Group H,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,1.0,3.0,5.0,13.0,15.0,4.0,0.0,4.0,4.0,6.0,4.0,14.0,19.0,566.0,551.0,157.0,136.0,155.0,228.0,254.0,187.0,4.0,8.0,146.0,185.0,88.0,96.0,16.0,17.0,7.0,8.0,1.0,1.0,0.0,0.0,7.0,10.0,1.0,0.0,528.0,419.0,459.0,340.0,16.0,19.0,4.0,3.0,10.0,9.0,4.0,3.0,10.0,8.0,0.0,0.0,6.0,10.0,0.0,0.0,65.0,54.0,240.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,
